"","OTU_1","OTU_2","OTU_3","OTU_4","OTU_5","OTU_6","OTU_7","OTU_8","OTU_9","OTU_10","OTU_11","OTU_12","OTU_13","OTU_14","OTU_15","OTU_16","OTU_17","OTU_18","OTU_19","OTU_20","OTU_21","OTU_22","OTU_23","OTU_24","OTU_25","OTU_26","OTU_27","OTU_28","OTU_29","OTU_30","OTU_31","OTU_32","OTU_33","OTU_34","OTU_35","OTU_36","OTU_37","OTU_38","OTU_39","OTU_40","OTU_41","OTU_42","OTU_43","OTU_44","OTU_45","OTU_46","OTU_47","OTU_48","OTU_49","OTU_50","OTU_51","OTU_52","OTU_53","OTU_54","OTU_55","OTU_56","OTU_57","OTU_58","OTU_59","OTU_60","OTU_61"
"samp_1",81,0,15,459,42,3,5,45,32,3,10,10,0,2,119,4,4,40,82,4,13,6,32,20,31,30,206,0,21,43,8,38,6,5,16,57,12,3,6,78,0,5,8,6,93,17,1,4,1,0,3,5,4,2,15,3,2,17,4,12,145
"samp_2",20,0,0,249,92,5,16,44,192,0,17,0,0,42,740,0,12,5,10,0,0,128,13,2,5,8,15,1,23,1,15,5,0,1,1,379,106,3,1,3,2,3,34,13,76,25,0,4,0,2,0,3,4,17,4,2,0,6,2,1,23
"samp_3",0,9,0,1445,0,0,0,3,2,0,0,2,0,0,9,0,4,2,12,334,3,0,0,0,9,0,0,16,0,0,0,0,0,0,3,2,0,0,0,2,9,9,0,0,294,4,16,0,0,9,4,12,15,0,0,8,23,0,0,4,367
"samp_4",4,4,3,2407,6,0,0,3,2,2,2,0,0,0,8,1,2,10,21,179,2,2,0,0,17,0,1,0,2,1,0,1,0,0,4,12,10,1,0,0,10,10,6,0,379,10,8,1,1,4,2,10,15,0,0,8,89,0,2,0,288
"samp_5",33,1,1,38,83,14,0,44,96,11,7,3,0,15,421,7,11,41,96,5,5,52,0,3,130,15,11,3,28,1,3,15,1,1,27,18,21,7,1,27,0,1,7,13,35,8,0,1,0,0,0,1,1,7,2,1,0,1,1,2,13
"samp_6",27,0,1,180,34,7,183,33,109,0,5,0,0,1,337,0,21,22,27,0,28,59,76,0,31,151,7,0,14,3,1,20,1,1,22,54,22,7,2,26,1,5,13,7,168,15,3,7,1,0,2,10,2,7,2,8,0,3,7,0,13
"samp_7",4,0,0,1668,24,4,4,4,1,0,11,0,0,9,155,0,6,0,36,0,37,18,6,0,191,6,14,0,1,0,1,0,9,0,0,13,16,4,0,7,4,6,1,0,184,60,3,11,0,0,0,20,7,1,23,12,0,0,3,4,3
"samp_8",21,0,7,2192,13,1,13,5,0,16,7,14,18,22,551,0,9,19,99,22,61,87,22,9,105,16,22,3,5,16,5,3,0,14,19,552,237,62,0,58,19,37,51,2,447,16,3,1,7,5,1,14,22,22,3,9,21,9,22,12,55
"samp_9",2,1,304,251,34,1,15,0,6,3,0,0,6,33,791,0,4,6,70,1,15,222,144,0,4,31,44,0,26,0,19,2,20,0,1,72,7,12,19,15,0,3,5,6,101,12,0,5,4,2,0,5,3,48,10,7,45,4,10,0,101
"samp_10",66,3,2,3685,22,2,1,7,2,10,3,0,0,0,57,0,2,14,177,11,3,1,1,0,42,2,2,0,10,0,0,28,0,28,11,61,21,100,0,58,21,44,8,1,748,33,8,8,21,7,15,40,21,2,7,13,0,22,5,7,233
"samp_11",51,0,3,37,48,3,0,9,26,1,6,1,4,0,93,3,1,14,80,0,0,9,9,18,24,20,65,0,2,12,3,14,3,9,8,563,1374,6,1,51,0,0,160,1,11,1,0,4,0,0,0,0,0,2,0,0,0,6,0,1,2
"samp_12",8,5,28,665,201,4,1,2,0,1,3,7,0,2,52,0,12,20,66,0,4,15,3,2,28,5,6,0,4,3,0,3,0,170,14,52,54,22,0,753,0,15,8,10,522,4,3,5,27,3,42,7,6,1,0,10,0,168,1,6,91
"samp_13",19,9,0,762,196,0,3,24,111,9,9,2,0,0,523,2,12,19,392,0,45,71,1,0,19,8,4,1,51,0,2,19,2,29,4,93,35,14,2,187,4,18,24,17,690,2,1,4,9,1,25,14,6,9,0,8,0,38,12,3,93
"samp_14",30,0,1,102,214,0,0,69,102,10,0,1,0,8,522,2,19,11,27,3,3,97,11,0,15,6,7,0,34,1,5,21,0,102,12,91,36,2,0,282,2,0,2,22,58,44,0,0,2,1,0,1,2,10,3,1,1,57,0,0,2
"samp_15",20,32,14,493,38,0,0,6,2,12,3,0,0,19,208,1,10,39,30,31,15,61,10,76,34,21,23,0,3,2,6,3,8,5,7,57,202,0,1,15,4,7,19,4,63,5,3,26,1,2,2,2,3,5,47,1,2,5,3,0,1724
"samp_16",13,0,427,9,16,0,12,2,9,32,4,4,0,12,377,0,4,17,32,6,6,71,18,0,15,20,20,0,17,4,0,21,13,4,4,29,66,9,4,30,0,0,24,4,8,0,0,4,0,0,0,0,0,9,40,0,4,3,3,0,11
"samp_17",29,1,9,270,16,9,0,0,0,48,2,0,0,7,1270,5,0,1,27,46,16,229,22,7,20,38,54,0,1,1,7,20,1,5,0,24,87,16,5,20,0,7,13,0,41,62,0,14,0,2,2,3,1,22,80,0,27,2,2,0,99
"samp_18",14,0,243,2610,6,0,0,25,0,14,7,9,0,14,252,0,0,18,29,0,11,20,13,0,12,18,11,0,4,3,8,26,0,6,3,43,203,6,14,26,14,27,53,0,422,9,2,2,2,6,0,22,26,4,43,9,0,7,3,3,123
"samp_19",12,0,4,3971,26,1,0,9,13,2,2,1,1,10,228,3,5,117,2,16,4,19,5,4,4,8,13,4,5,2,1,7,0,4,4,39,245,1,2,25,12,51,49,2,499,113,10,0,4,12,3,30,23,2,16,18,6,7,1,6,445
"samp_20",18,0,72,141,50,1,4,21,31,6,3,13,0,8,299,3,73,15,34,3,27,23,11,10,12,22,81,2,54,20,2,10,6,10,2,188,359,14,12,54,1,0,81,1,44,121,0,2,2,0,1,5,1,7,21,2,0,12,10,15,17
"samp_21",828,0,2,3,4,28,1,4,7,1,24,0,0,3,359,3,23,50,881,1,2,23,7,1,38,17,3,0,77,1,1,634,1,0,25,15,40,2,0,3,0,0,6,0,0,1,0,0,0,0,0,0,0,10,19,0,1,0,1,1,0
"samp_22",6,0,106,589,18,3,8,14,0,7,12,4,0,20,428,3,4,4,37,3,6,94,19,0,26,18,16,0,8,4,4,16,27,0,4,727,1420,7,7,22,0,1,281,0,112,203,0,0,0,0,1,9,9,13,40,3,0,17,1,0,1
"samp_23",10,7,25,1055,2,1,25,2,0,2,5,1,0,2,212,2,1,6,10,5,14,30,10,0,36,36,7,1,15,5,8,5,1,1,10,144,367,2,0,10,5,6,86,0,172,12,5,6,0,5,2,5,14,5,48,3,8,2,15,1,146
"samp_24",11,8,56,215,43,8,3,2,1,1,1,19,1,8,236,11,3,26,33,253,2,24,11,8,19,26,29,7,10,7,2,3,8,11,5,96,38,5,3,64,1,1,10,7,62,28,0,1,5,1,5,0,1,8,45,2,1376,22,0,43,87
"samp_25",14,0,6,314,39,0,0,11,61,0,9,9,0,9,265,3,2,2,18,33,2,33,1,0,2,1,7,1,14,0,0,7,3,3,1,18,41,0,0,14,0,9,8,1,64,1,0,9,0,0,6,4,6,3,2,4,0,0,0,0,17
"samp_26",0,47,20,1249,8,0,3,0,0,0,0,0,0,4,60,0,0,3,3,738,6,20,2,0,4,2,6,2,3,0,0,0,0,9,0,9,21,0,0,6,8,4,4,0,259,31,3,0,4,0,11,3,6,0,2,11,811,0,2,3,31
"samp_27",9,0,59,129,104,4,9,4,2,2,4,12,0,9,240,6,4,9,60,0,3,20,6,8,32,15,45,18,3,4,4,11,12,28,3,139,131,9,0,106,0,3,32,24,121,40,0,4,6,0,8,2,4,3,26,0,3,31,4,27,12
"samp_28",5,2,5,126,44,2,0,0,0,7,0,1,2,19,604,0,4,5,16,33,10,106,15,0,7,13,23,0,4,5,5,2,2,15,1,28,10,15,0,39,1,4,7,4,50,15,1,11,1,2,2,2,1,13,2,1,5,19,7,5,61
"samp_29",21,4,19,180,17,13,1,4,0,0,10,23,4,31,935,4,8,19,64,19,15,129,16,10,46,23,35,2,6,24,2,13,0,6,2,34,16,39,4,67,1,3,6,4,63,11,0,6,2,0,2,2,3,15,4,6,24,24,1,19,45
"samp_30",50,25,6,2391,33,6,0,24,97,2,11,23,1,6,485,2,4,4,67,2,6,34,4,3,13,0,8,1,35,3,1,32,1,8,4,10,21,11,8,17,10,15,6,3,485,21,11,2,6,3,6,26,15,10,6,19,2,6,3,0,28
"samp_31",41,0,25,239,103,12,4,4,14,0,1,29,1,0,395,9,25,9,64,3,32,34,0,27,18,16,292,6,12,437,6,22,86,55,3,38,102,0,14,533,0,6,24,6,74,80,1,4,9,2,12,2,6,6,0,11,19,70,6,9,26
"samp_32",73,0,28,4574,163,13,7,2,70,0,19,76,2,5,388,10,7,15,137,21,64,36,15,13,34,48,226,21,19,382,10,39,99,91,3,83,181,11,42,480,8,44,17,10,711,146,14,2,44,5,27,53,16,7,10,23,8,79,28,22,82
"samp_33",3,0,0,2719,47,0,7,22,32,0,3,0,0,8,146,0,0,0,0,0,18,25,1,0,0,3,4,0,4,0,0,0,1,6,0,4,29,0,0,7,3,14,7,1,471,6,4,0,7,0,3,37,24,4,0,11,6,1,6,0,9
"samp_34",72,8,54,1235,270,0,15,39,54,2,16,42,15,5,497,16,21,15,161,15,39,88,22,63,76,56,601,66,12,1077,10,21,195,198,28,164,381,23,90,1847,1,27,76,21,593,201,0,2,50,2,76,5,5,11,50,10,63,363,21,79,141
"samp_35",2,0,5,38,64,1,1,40,89,0,3,2,0,3,411,5,3,1,7,5,12,44,10,0,15,1,12,3,28,2,4,4,5,2,5,6,6,4,1,139,1,1,1,10,21,21,0,0,0,2,3,1,0,10,6,0,35,33,2,0,2
"samp_36",30,9,22,4364,56,1,2,2,9,0,1,14,0,12,373,3,14,3,93,8,134,45,9,4,43,0,20,14,3,13,6,19,7,17,3,142,228,19,4,46,25,37,71,2,782,22,9,0,12,1,19,37,24,7,13,13,62,19,36,0,61
"samp_37",47,0,16,176,100,3,5,1,29,5,5,14,1,0,274,37,11,22,78,11,47,7,33,30,52,61,120,14,9,164,0,34,26,16,14,100,142,19,18,370,0,1,26,5,50,29,0,32,7,0,5,0,2,7,16,0,41,65,22,9,3
"samp_38",15,0,153,151,28,5,299,10,19,1,5,5,5,3,497,1,5,34,31,11,21,58,29,1,27,33,70,23,15,34,2,10,7,11,15,26,20,8,8,192,0,3,5,1,61,40,0,15,10,1,3,2,2,10,2,3,23,47,8,8,26
"samp_39",50,2,17,324,297,5,5,4,19,13,6,53,0,10,801,15,15,12,216,5,54,168,30,0,94,10,97,99,10,10,7,31,13,32,5,288,449,109,21,269,2,10,114,30,188,165,1,5,15,1,24,5,4,25,96,7,5,79,28,38,15
"samp_40",64,0,74,102,257,1,9,2,106,0,0,43,0,16,1067,7,41,5,51,3,50,191,9,0,27,3,136,65,9,7,13,16,12,20,18,53,65,9,19,430,0,0,14,35,102,65,0,11,7,0,12,1,0,27,11,0,19,96,16,9,11
"samp_41",3,0,0,4875,8,0,0,0,1,0,0,1,0,0,51,0,0,0,2,0,50,8,5,0,0,1,8,2,0,0,1,0,0,9,0,19,33,2,0,9,14,69,9,0,866,154,8,0,5,2,3,51,37,1,0,5,0,2,19,1,158
"samp_42",2,0,1,3993,31,0,6,2,0,1,0,11,0,4,129,0,0,0,3,6,57,36,4,4,0,2,11,4,0,0,2,0,3,1,0,53,50,0,0,6,10,40,11,2,531,31,21,0,1,33,1,31,32,4,1,4,0,1,30,1,621
"samp_43",7,0,0,1612,253,0,2,1,5,0,0,69,0,22,765,14,26,17,16,0,41,86,22,12,16,5,90,25,5,0,9,11,17,25,39,24,41,51,7,51,5,14,11,22,368,99,2,0,3,5,19,18,9,26,9,2,9,18,29,7,94
"samp_44",1,0,13,2243,9,0,1,1,0,0,0,3,0,0,26,0,2,13,13,0,27,4,0,1,0,6,2,0,2,0,0,0,0,3,1,24,78,2,0,12,9,30,27,0,294,165,3,1,0,1,1,9,18,1,0,7,0,0,11,7,4
"samp_45",1,0,0,5826,7,3,0,0,5,0,0,0,0,1,29,1,1,0,0,701,51,1,1,0,0,0,1,662,0,0,0,0,0,0,0,2,7,0,2,2,24,21,2,1,810,26,36,1,1,59,1,64,47,1,0,44,0,0,24,1,847
"samp_46",9,4,23,1009,60,2,0,2,0,0,8,9,0,11,264,4,12,0,9,20,9,55,6,9,11,6,35,4,4,4,3,3,4,6,13,13,6,4,0,53,6,6,4,0,127,20,2,4,0,0,3,9,4,4,0,2,8,12,3,4,150
"samp_47",1,0,0,4719,11,0,11,0,1,0,0,1,0,0,45,1,1,0,0,3,6,4,4,2,0,4,3,53,0,2,0,0,0,1,0,7,12,2,4,3,25,42,4,2,799,2028,26,0,2,30,0,48,42,1,1,35,2,0,2,2,500
"samp_48",2,0,0,6156,4,0,306,0,0,0,0,2,1,0,18,0,0,6,2,21,8,0,75,0,0,56,2,248,0,1,0,0,0,0,0,8,4,0,0,1,40,46,2,0,1062,197,63,0,1,47,0,75,62,0,0,23,0,0,4,0,701
"samp_49",1,5,1,8262,7,0,1,0,2,0,2,0,2,2,30,0,1,7,2,33,5,2,0,0,0,0,2,2,0,1,0,0,0,2,0,82,23,1,0,2,50,108,15,1,1510,5911,16,0,0,2,10,102,68,2,1,174,0,0,3,1,5
"samp_50",18,0,36,61,22,1,3,0,0,16,5,0,72,7,155,0,7,19,18,1,7,10,11,1,5,19,29,1,1,0,5,22,11,1,11,144,105,38,3,7,1,1,16,1,18,77,0,3,0,0,1,0,1,1,1,2,19,1,2,0,5
"samp_51",2,208,20,786,1,0,0,1,0,0,0,0,34,3,42,5,2,1,0,454,58,2,2,2,0,0,2,1,1,2,1,5,0,3,1,7,15,0,0,1,2,2,5,0,151,20,10,2,2,12,40,5,10,2,1,12,3982,0,28,0,1181
"samp_52",13,105,9,1463,1,3,0,0,0,0,3,0,8,1,70,3,4,14,13,1535,0,7,1,0,0,0,1,0,0,0,0,8,0,1,9,3,3,3,0,3,9,7,0,0,245,0,4,0,0,3,22,13,13,0,1,20,458,0,0,6,224
"samp_53",51,63,26,1448,15,4,0,1,6,0,13,0,22,3,152,6,200,24,37,1339,9,24,4,0,6,6,18,0,6,0,0,31,4,3,9,26,42,9,6,6,8,6,9,0,300,19,9,1,0,1,24,15,15,6,13,12,380,0,3,9,212
"samp_54",4,10,3,4539,1,0,238,0,0,0,0,0,3,0,11,0,5,0,1,8,4,5,45,0,0,214,2,57,1,2,1,1,0,0,0,0,8,0,0,1,25,30,4,0,601,0,11,0,2,13,12,46,38,0,1,8,3,1,3,2,133
"samp_55",3,0,6,4251,1,0,0,0,3,1,0,1,4,0,45,1,0,2,0,2,0,3,0,0,1,0,8,1,0,0,0,1,0,0,0,7,26,0,0,0,20,18,1,0,543,1,3,0,0,1,1,44,38,0,2,7,12,1,0,1,4
"samp_56",7,11,118,1822,39,0,1,0,2,0,0,6,7,0,103,7,1,9,24,9,1,25,0,2,11,9,49,9,0,11,1,2,8,17,1,47,33,4,0,43,6,27,11,1,347,102,29,0,9,18,8,7,6,2,9,18,37,9,2,0,591
"samp_57",0,0,6,53,9,0,6,57,0,0,0,0,37,11,494,11,20,0,6,9,21,71,9,31,4,20,80,0,0,4,4,0,15,0,0,35,92,0,17,8,0,0,15,0,9,8,0,4,0,0,0,0,0,8,3,0,9,6,4,0,6
"samp_58",1,0,1,2472,3,0,1,0,0,0,0,0,0,0,3,1,0,0,0,514,0,2,1,0,0,2,1,119,1,1,0,0,1,0,0,2,0,0,1,0,3,8,1,0,377,297,2,1,5,0,0,7,15,0,1,22,1,0,0,0,5
